Id,unidad,comentarios,fecha,fechareg,userreg,fechamod,usermod,IdModulo
12606,1104,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,22:51.0,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:22:50-1104
12607,1099,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,23:10.3,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:23:10-1099
12608,1051,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,23:31.9,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:23:31-1051
12609,1094,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,23:49.8,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:23:49-1094
12610,1066,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,24:09.2,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:24:09-1066
12611,141,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,11:40.0,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:11:40-141
12612,1072,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,11:59.4,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:11:59-1072
12613,135,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,12:18.5,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-22:12:18-135
12614,4,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,58:49.9,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:58:49-004
12615,1028,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,59:11.1,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:59:11-1028
12616,1076,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,59:27.9,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:59:27-1076
12617,1077,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,59:47.5,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-23:59:47-1077
12618,1032,CAMBIO DE ACEITE Y FILTROS,28/02/2018,36:11.6,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-07:36:11-1032
12619,1032,"REGISTRO DE CAMBIO DE ACEITE DE LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,37:01.1,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CAU-07:37:01-1032
12620,1036,CAMBIO DE ACEITE Y FILTROS,28/02/2018,38:49.1,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-07:38:49-1036
12621,1036,"REGISTRO DE CAMBIO DE ACEITE DE LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,39:21.4,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CAU-07:39:21-1036
12622,1030,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,48:47.0,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-07:48:46-1030
12623,1097,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,49:18.2,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-07:49:18-1097
12624,1067,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,49:47.2,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-07:49:47-1067
12625,1054,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,56:42.4,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-07:56:42-1054
12626,1018,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,57:27.0,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-07:57:26-1018
12627,1080,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,16:11.8,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-08:16:11-1080
12628,1086,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,16:46.0,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-08:16:46-1086
12629,1095,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,20:06.2,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-08:20:06-1095
12630,1057,CAMBIO DE ACEITE Y FILTROS,28/02/2018,36:38.5,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-08:36:38-1057
12631,1057,"REGISTRO DE CAMBIO DE ACEITE DE LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,37:09.6,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CAU-08:37:09-1057
12632,1038,CAMBIO DE ACEITE Y FILTROS,28/02/2018,40:23.2,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-08:40:23-1038
12633,1038,"REGISTRO DE CAMBIO DE ACEITE DE LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,40:48.6,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CAU-08:40:48-1038
12634,1008,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,03:39.4,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:03:39-1008
12635,6,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,10:54.8,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:10:54-006
12636,130,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,11:33.2,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:11:33-130
12637,1103,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,23:04.4,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:23:04-1103
12638,1068,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,24:06.7,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:24:06-1068
12639,1063,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,26:02.5,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:26:02-1063
12640,1078,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,36:40.1,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:36:40-1078
12641,7,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,46:46.2,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:46:46-007
12642,1056,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,47:18.7,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-09:47:18-1056
12643,1098,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",28/02/2018,40:24.5,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-11:40:24-1098
